ich,I
yeah,yeah
magst,like
laut,loud
klappe,flap
amerika,America
nahm,took
niemanden,nobody
gefährlich,dangerous
mörder,murderer
gewinnen,win
gedanken,thoughts
obwohl,although
monat,month
mike,Mike
arbeitet,works
herrn,Mr.
behalten,keep
legen,place
bob,bob
person,person
herzen,hearts
brief,letter
präsident,president
rechts,right
anfangen,begin
schluss,ending
hübsch,pretty
don,Don
gewonnen,won
wisst,do you know
versprochen,promised
chef,chef
findest,find
perfekt,perfect
schlagen,hit
tatsächlich,actually
pferd,horse
dagegen,against it
erfahren,experience
monsieur,monsieur
mord,murder
paul,Paul
nähe,vicinity
nötig,necessary
wow,Wow
aller,all
offen,open
wach,awake
singen,sing
beispiel,example
ais,ais
sowieso,anyway
jedenfalls,anyway
schwein,pig
bank,bank
ziel,goal
klein,small
verdient,earned
band,band
geist,spirit
ma,ma
max,max
neu,new
schreit,screams
anwalt,attorney
monaten,months
show,show
heim,home
führt,leads
lauf,run
ehre,honor
unterwegs,on the way
gelernt,learned
minute,minute
reich,rich
wunder,wonder
opfer,victim
erzähl,tell
bekannt,known
hau,hau
haut,skin
weder,neither
rücken,back
bekommt,receives
peter,Peter
jemals,ever
partner,partner
zieht,pulls
nase,nose
gefahr,danger
regeln,regulate
absolut,absolutely
tief,deep
flugzeug,airplane
befehl,command
geschickt,sent
wette,bet
nennt,calls
jung,young
sucht,seeks
gehabt,had
geboren,born
rolle,role
schönen,beautiful
leg,leg
holt,gets
erinnerst,do you remember
heiße,hot
kraft,power
lhrem,her
lacht,laughs
bar,bear
richtung,direction
tasche,bag
schlag,hit
professor,professor
steckt,is
ständig,constant
erwischt,caught
stell,position
schrecklich,terrible
verschwinde,disappear
weise,way
schlimmer,worse
ließ,let
frieden,peace
verliebt,in love
bleibe,stay
ehe,before
kriege,wars
näher,closer
gelesen,read
dahin,there
wofür,for what
dauert,lasts
neben,next to
gold,gold
raum,space
benutzt,used
welches,which
regierung,government
fährt,drives
volk,people
fernsehen,TV
zeiten,times
toten,kill
achtung,danger
karte,map
hunger,hunger
diesmal,this time
preis,price
benutzen,use
scheisse,shit
hilft,helps
geschenk,gift
hoffentlich,hopefully
manche,some
ansehen,view
kriegst,you get
lage,location
wünschte,wish
fehlt,missing
willen,will
bescheid,notice
heiß,hot
kamera,camera
gleiche,same
ruft,calls
unfall,accident
ans,to
bullen,bulls
szene,scene
gericht,court
gerettet,rescued
schlaf,sleep
schicksal,fate
gesetz,law
fürs,for
verkauft,sold
bewegen,move
leiche,corpse
lm,lm
jesus,Jesus
soldaten,soldiers
geburtstag,birthday
lebe,live
darfst,may
ewig,forever
ben,ben
schade,Too bad
seh,see
witz,joke
müsste,would
it,it
erwarten,expect
aiies,aiies
ihres,their
fahre,drive
ähm,um
pro,per
traurig,sad
hältst,do you hold
doc,doc
jemandem,someone
setzt,sets
gesellschaft,company
punkt,point
freiheit,freedom
jimmy,Jimmy
darin,in it
brachte,brought
weile,while
jawohl,yes indeed
dasselbe,the same
maul,mouth
zeigt,shows
taxi,taxi
erreichen,to reach
redet,talks
foto,photo
gekauft,bought
meer,sea
sheriff,sheriff
liebst,love
unbedingt,absolutely
aussehen,look
tante,aunt
drehen,turn
stirbt,dies
bord,board
kirche,church
tee,tea
of,of
erledigt,completed
wein,wine
weihnachten,Christmas
irgendwann,sometime
billy,Billy
euren,your
brauch,need
hochzeit,wedding
dorf,village
sagtest,you said
james,James
lady,lady
lust,desire
kontrolle,control
tolle,great
beine,legs
hut,hat
wiii,wiii
hoffnung,hope
firma,company
me,me
lügen,lie
sergeant,sergeant
fürchte,I am afraid
kaputt,broken
bekam,got
is,is
nachrichten,news
ball,ball
haare,hair
tschüss,bye
seltsam,strange
vergnügen,enjoyment
sauber,clean
bill,bill
zuhause,at home
anderer,other
zeichen,sign
herein,in
liste,list
haltet,hold
normal,normal
see,lake
schätze,I guess
bewegt,moves
wussten,knew
blick,view
naja,Oh well
gesucht,wanted
gestohlen,stolen
vorne,in front
jim,Jim
kindern,children
frag,ask
bleibst,stay
nachts,at night
neun,nine
nämlich,namely
wunderschön,beautiful
stecken,put
großes,large
freut,happy
weitere,more
gehören,belong
schwöre,I swear
nervös,nervous
hals,neck
henry,Henry
gearbeitet,worked
eigene,own
glas,glass
versteckt,hidden
feind,enemy
schönes,beautiful
verzeihen,pardon
öffnen,open
meter,meter
drogen,drugs
schöner,beautiful
nehmt,take
madame,madame
mary,Mary
süß,sweet
entscheidung,decision
erschossen,shot
verändert,changed
wind,wind
ray,ray
wohnen,reside
schuhe,shoes
interessant,interesting
übrigens,by the way
letzter,last
müsst,must
nächstes,next
schaut,looks
armen,poor
verstand,mind
verraten,betrayed
besuch,visit
beweise,proofs
sekunde,second
polizist,policeman
meint,means
fur,for
insel,island
beweisen,prove
antworten,answer
fotos,photos
passen,fit
werfen,throw
persönlich,personal
fragte,asked
namens,called
gegenüber,opposite
unsinn,nonsense
drink,drink
fuß,foot
besuchen,visit
güte,quality
lieb,dear
guck,look
deines,yours
roger,Roger
richtigen,correct
übrig,left over
major,major
bein,leg
messer,knife
geheimnis,secret
kannte,knew
gegessen,eaten
ungefähr,approximately
ran,ran
maria,Maria
nahe,vicinity
meinte,meant
nimmst,take
gruppe,group
bücher,books
weib,woman
geschlafen,slept
london,London
letztes,last
zeitung,newspaper
zufrieden,satisfied
verdammten,damned
zweite,second
geliebt,loved
freude,joy
loch,hole
stellt,presents
statt,instead of
fleisch,meat
ganzes,whole
verschwunden,disappeared
worauf,whereupon
sauer,sour
erkennen,recognize
weißen,white
entfernt,removed
nick,Nick
mut,courage
mitnehmen,take along
anruf,call
lied,song
träume,dreams
for,for
kostet,costs
fisch,fish
amerikaner,American
schuldig,guilty
zumindest,at least
entweder,either
mark,mark
sprach,spoke
informationen,information
miteinander,each other
sowas,like this
gibst,give
sahen,saw
schmerz,pain
furchtbar,terrible
niemandem,no one
vaters,father's
vorwärts,forward
computer,computer
teilen,split
gefahren,driven
erster,first
eier,eggs
seines,his
kontakt,contact
situation,situation
bus,bus
verstecken,hide
händen,hands
ehren,honor
entlang,along
küche,kitchen
wütend,angry
mami,mommy
fühlt,feel
eddie,Eddie
überraschung,surprise
tony,tony
haar,hair
schwert,sword
schreien,scream
lag,lay
fräulein,miss
ha,Ha
hielt,held
richter,judge
gespielt,played
gegend,area
red,red
gebäude,building
geredet,talked
rat,council
schlechte,bad
süße,sweetness
hängt,depends
eis,ice
big,big
zerstört,destroyed
koffer,suitcase
wohnt,lives
schwarze,black
versteht,understands
kümmere,take care
erledigen,complete
lieutenant,lieutenant
alex,alex
männern,men
witzig,funny
schließlich,finally
position,position
drinnen,indoors
fbi,FBI
soweit,so far
falsche,FALSE
entscheiden,decide
erhalten,receive
bauen,build
kleid,a dress
dachten,thought
übel,bad
überleben,survive
hinaus,in
beeil,heap
wald,forest
töte,kill
beschäftigt,busy
ring,ring
verbindung,connection
königin,queen
ecke,corner
halb,half
bericht,report
gingen,go
vergangenheit,past
spiele,games
angefangen,begun
weinen,cry
welchen,which
radio,radio
nah,close
beziehung,relationship
hängen,hang
feiern,celebrate
mussten,had to
verhaftet,arrested
maschine,machine
ermordet,murdered
richard,Richard
größte,largest
betrunken,drunk
mußt,must
soldat,soldier
irgendetwas,anything
an,on
gefühle,feelings
rauf,up
rief,called
beginnt,begins
anna,Anna
witze,jokes
engel,angel
quatsch,nonsense
hälfte,half
spreche,speak
lehrer,teacher
england,England
charles,Charles
dessen,whose
schwierig,difficult
fang,catch
gleichen,same
respekt,respect
adresse,address
brücke,bridge
falschen,FALSE
blumen,flowers
bobby,Bobby
besorgen,obtain
sommer,summer
bilder,pictures
park,park
flug,flight
agent,agent
schlampe,slut
hunde,dogs
geschlagen,beaten
beginnen,start
danken,thank
schritt,step
zerstören,destroy
bombe,bomb
san,san
schwarzen,black
gelassen,relaxed
aufgabe,task
allerdings,however
unseres,our
washington,Washington
prinzessin,princess
colonel,colonel
kümmert,cares
treten,step
unterschied,difference
gesund,healthy
stimmen,voices
knast,prison
fahrt,drive
heisst,is called
steig,rise
gehirn,brain
besorgt,worried
fluss,flow
tiere,animals
bekomme,get
brüder,brothers
indem,by
trägt,carries
gewartet,waited
bisher,until now
tor,goal
glückwunsch,congratulations
gebt,give
schafft,creates
planeten,planets
wünsche,wishes
blöd,stupid
rom,Rome
hintern,butt
falle,fall
singt,sings
dach,roof
tötet,kills
helfe,help
pistole,gun
freunden,friends
karten,cards
leiden,suffer
wünschen,wish
gewehr,gun
fühlst,do you feel
kapitän,captain
neuer,newer
reichen,are sufficient
system,system
sprich,speak
schläft,sleeps
worüber,about what
katze,cat
vogel,bird
rennen,run
erinnert,remembers
rechte,right
bringst,bring
tier,animal
steigen,climb
flasche,bottle
traf,met
küssen,kiss
deren,whose
leisten,afford
halbe,half
eurer,your
verspreche,I promise
vermisst,missing
genannt,named
fragt,asks
verbrechen,crime
aussieht,looks
melden,report
stehe,stand
verantwortlich,responsible
pferde,horses
erfolg,success
lee,lee
ohren,ears
bad,bad
keinem,none
weiße,white
besonderes,special
theater,theater
natur,nature
lächeln,smile
club,club
auftrag,order
wichser,wanker
aufhalten,stop
schmerzen,pains
by,by
davor,before
wüsste,knew
abendessen,dinner
sarah,Sarah
verdienen,earn
trifft,hits
deutschen,German
überrascht,surprised
baum,tree
kosten,cost
leer,empty
morgens,morning
gefangen,caught
van,van
wand,wall
city,City
haufen,heap
schließen,close
möglichkeit,possibility
schützen,protect
besteht,consists
rauchen,smoke
schwierigkeiten,difficulties
stein,stone
mitten,in the middle
hinein,inside
hose,trousers
verdammter,damned
autos,cars
zuvor,before
prima,great
schwanz,tail
lächerlich,ridiculous
schickt,sends
wieviel,how much
beschützen,protect
liebes,Dear
befehle,commands
echte,real
vermutlich,allegedly
englisch,English
bedeuten,mean
junger,younger
lüge,lie
uh,uh
gemeinsam,together
pause,pause
versteh,I understand
aufpassen,watch out
einverstanden,agreed
brechen,break
grad,degree
prinz,prince
polizisten,police officers
lord,lord
druck,pressure
heilige,holy
daher,therefore
schwarz,black
solchen,such
übernehmen,take over
nachmittag,afternoon
regen,rain
schätzchen,baby
zweiten,second
rock,rock
fassen,grasp
tote,dead
fiel,fell
madam,madam
mitgebracht,brought along
mannes,man
mochte,want
wart,wait
lief,ran
dorthin,there
unterhalten,entertain
schuss,shot
angriff,attack
freue,am happy
gebaut,built
gebrochen,broken
fanden,found
beruhige,calm down
offensichtlich,apparently
versprechen,promise
monster,monster
fängt,begins
kapiert,I understand
ehemann,husband
geschlossen,closed
frühstück,breakfast
gebeten,requested
stören,disturb
irre,insane
farbe,color
chris,Chris
taten,did
zufällig,randomly
geschieht,happens
pfund,pound
mission,mission
zeige,show
wochenende,weekend
unternehmen,company
fantastisch,fantastic
kate,kate
geb,born
schlägt,strikes
entschieden,decided
spur,track
liebte,loved
hieß,was called
vertrag,contract
dienst,service
held,hero
verpasst,missed
irgendwelche,any
filme,films
stock,stock
louis,Louis
meilen,miles
wahnsinn,craziness
erschießen,shoot
nee,no
einzigen,single
mitkommen,come with me
braut,bride
reisen,travel
gewissen,conscience
schmeckt,tastes
sprache,language
begann,began
eigenes,own
reihe,row
fern,remote
drüber,about it
mond,moon
gang,aisle
schauspieler,actor
vollkommen,completely
runde,round
restaurant,restaurant
dreck,dirt
schrieb,wrote
untertitel,subtitles
arthur,Arthur
sprichst,speak
warm,warm
mistkerl,bastard
nette,nice
bekommst,get
lager,storage
atmen,breathe
legt,lays
daraus,from this
schloss,lock
danny,Danny
geschossen,shot
gespräch,conversation
leise,quiet
flughafen,airport
wunsch,wish
schwanger,pregnant
operation,operation
anzug,men's suit
gelegenheit,opportunity
folge,consequence
kunden,customers
dankbar,thankful
welchem,which
gewusst,known
tanz,dance
füße,feet
thema,theme
brauchte,needed
dreh,turn
netter,nice
verantwortung,responsibility
umsonst,for free
geändert,changed
subtitles,subtitles
verboten,forbidden
schlechter,worse
million,million
dick,thick
größer,larger
nerven,annoy
schaden,damage
erreicht,reached
jagen,hunting
urlaub,vacation
erlaubt,allowed
gäste,guests
erfahrung,experience
viei,viei
rot,red
getrunken,drank
freuen,be happy
besseres,better
wache,wake
gewalt,force
entkommen,escape
wußte,knew
hasst,hates
riecht,smells
strand,beach
sterbe,die
konntest,could
aufstehen,stand up
wahnsinnig,insane
nachgedacht,thought
oberst,colonel
william,William
beenden,finish
kino,cinema
lauter,loud
folgt,follows
aha,Aha
wahre,TRUE
angebot,offer
erklärt,explained
trink,drink
soii,soii
stört,disrupts
gilt,applies
keller,cellar
post,post
senator,senator
eurem,your
isst,eats
geschichten,stories
frankreich,France
no,no
gentlemen,gentlemen
kugel,bullet
gemeint,meant
milch,milk
machten,made
kleider,dresses
herausfinden,find out
mindestens,at least
einigen,some
trottel,idiot
schaffst,do you manage
kuss,kiss
geholfen,helped
knie,knee
worum,what about
grab,grave
voraus,in advance
robin,Robin
blind,blind
that,that
schande,shame
schönheit,beauty
versuchte,attempted
fuhr,drove
steve,Steve
schatten,shadow
schulden,debts
dauern,last
mister,mister
schwimmen,to swim
such,search
beruhigen,calm
form,form
bessere,better
verschwindet,disappears
zweimal,twice
präsidenten,presidents
wei,white
dunkel,dark
idioten,idiots
sieg,victory
riggs,riggs
pläne,plans
bat,bat
zufall,coincidence
eingeladen,invited
scherz,joke
gezeigt,shown
geheiratet,married
fahrer,driver
ähnlich,similar
verhalten,behave
staaten,states
garten,garden
großvater,grandfather
schreibt,writes
pflicht,duty
spielte,played
deckung,cover
energie,energy
zeugen,witnesses
star,star
fährst,drive
nachdenken,ponder
roy,roy
risiko,risk
geschäfte,shops
erstes,first
kunst,art
behandelt,treated
geschah,happened
helft,help
dürfte,likely
heiligen,holy
mädels,girls
beweis,proof
priester,priest
wusstest,did you know
stopp,stop
zustand,condition
direktor,director
gehalten,held
grenze,border
juden,Jews
geblieben,remained
erzählte,told
vieiieicht,maybe
brennt,burns
interesse,interest
seiten,pages
